text_no_emoji,lang,translated_text
jai pas les mots,lv,I don't have the words
juste admire,et,just admire
jai besoin dun bavoir,fi,I need a bib
fell knees,no,fell knees
today,so,today
hahahaha,so,hahahaha
nop,tl,nop
te amo,pt,I love you
see video raise,et,see video raise
always,so,always
ad unforgetable love india,no,ad unforgetable love india
siempre fui,es,I always went
yes,tr,yes
oh hi sista,fi,oh hi sista
god,cy,god
deargod pls,ca,deargod pls
need,af,need
lip gallagher,tl,lip gallagher
daddy,cy,daddy
sim eu quero ele,ca,Yes I want him
get footage,da,get footage
hi back,vi,hi back
god video good,hr,god video good
nope,it,nope
beautiful time alive,ro,beautiful time alive
yes chef,cy,Yes chef
still,sv,still
pregunten el color de nada,es,Ask the color of nothing
great lorenzo zurzolo benjamin wadsworth,nl,great lorenzo zurzolo benjamin wadsworth
nop,tl,nop
qui per ricordare,it,here to remember
chi se lo scorda questo è il punto,it,who forgets this is the point
nopeee,nl,noeee
nope,it,nope
lip gallagher,tl,lip gallagher
nunca lo voy superar,es,I will never overcome it
yes chef,cy,Yes chef
understand hype,de,understand hype
شهالجمال فلا امل من الريل عزه,ar,"Shahlal Al -Jamal, there is no hope from the Rail"
take time need,et,take time need
still,sv,still
girl,tr,girl
still,sv,still
volví porque creí que esto era insuperable sigo en duda,es,"I came back because I thought this was insurmountable, I'm still in doubt"
jai jamais autant aimé une pub,fr,I never liked an ad
por qué este video dura horas,pt,Why this video lasts hours
future still yum,fr,future still yum
god never gets old,da,god never gets old
feel like paying watch,af,feel like paying watch
ask saved video,da,ask saved video
still forgotten video calvin klein,no,still forgotten video calvin klein
sort looks like young bear grylls,no,sort looks like young bear grylls
still,sv,still
still,sv,still
husband,sw,husband
foi você que assistiu série com ele,fr,It was you who watched series with him
simm,fi,simm
six,ca,six
end,da,end
still,sv,still
jamás cansaré de ver este,es,I will never tire of seeing this
pq c repite tanto,ca,Because it is repeated so much
back reminder still internet view,da,back reminder still internet view
nope,it,nope
que bien come la rosalía,es,how well eat the Rosalia
deus abençoe,pt,God blesses
cuantos dias dura este video,es,How many days this video lasts
slow walk damn hot,so,slow walk damn hot
te voy regalar esa camiseta,es,I'm going to give you that shirt
daily,cy,daily
neighbors asked got new dog,af,neighbors asked got new dog
still,sv,still
bu video gercek mi,tr,Is this video real
kkkkkkkkkkkk,fi,kkkkkkkkk
hahahhahahahahha,so,hahahhahahahahahahahha
le le,fr,the
still,sv,still
video endless,da,video endless
esse homem acabou com meu psicológico,pt,This man ended my psychological
definitely apollo,it,definitely apollo
gay got socks,tl,gay got socks
get hype get hype,no,get hype get hype
still,sv,still
deus sou eu de novo,fr,God is me again
oh,fi,oh
misericórdia kkkkkk,et,mercury kkkkkk
looks like gene wilder willy wonka,af,looks like gene wilder willy wonka
רלוונטי,he,Relevant
umm loving lip,et,umm loving lip
army quer um ensaio assim com jk por favor,pt,Army wants such a rehearsal with JK please
back baby,tl,back baby
video hour long,es,video hour long
looking girlfriend,af,looking girlfriend
remember episode shameless,da,remember episode shameless
daddyyyyy,cy,daddyyyyy
leggi commenti,it,Read comments
yes,tr,yes
احااا ذا الي يمثل ب ال bear,ar,"Oh, who represents the bear"
ahhhh jajajajjajajajaja se quiere parecer mi,sl,ahhhh jajajajajajaja you want to look like my
work art,af,work art
one,fi,one
love song,no,love song
colour sky,cs,colour sky
oh god,cy,oh god
woah,pl,woah
lipe gallagher,tl,lipe gallagher
weeks please stop liking,af,weeks please stop liking
só queria isso de presente hoje neste dia internacional da mulher sim eu venho aqui todo dia assistir,pt,I just wanted it as a gift today on this International Women's Day yes I come here every day watch
video days long,es,video days long
somwar ke vrat karugi,af,You will fast on Monday
heaven,nl,heaven
one best ever seen stunned,nl,one best ever seen stunned
jesús help us,sk,jesús help us
yes chef,cy,Yes chef
anyone hailey baileys video,tr,anyone hailey baileys video
happy vday,tl,happy vday
se calvin klein solta um vídeo assim jungkook meus familiares e amigos já teriam que preparar coroa de flores e camiseta minha homenagem porque eu ia virar saudade,pt,If Calvin Klein releases a video so Jungkook my family and friends would already have to prepare flower crown and t -shirt my tribute because I was going to miss
que guapo,es,how handsome
sposami,sk,marry me
fai di quel che vuoi,it,do what you want
sono tua,it,I'm yours
jungkook,et,jungkook
tbm não tô porém já trabalhando meu coração p aguentar caso apareça,pt,I'm not but I'm already working my heart to hold on if it appears
isso quer dizer q até fim ano infarto,pt,This means that until ending year infarction
tava vindo comentar isso agorinha,pt,I was coming to comment on it now
hot,cs,hot
well,cy,well
eu aqui dnv,fr,me here dnv
jungkook want like,id,jungkook want like
weeks,af,weeks
ampuuunnn,fi,ampuuunnn
sexiest man,fr,sexiest man
yo la paso stalkeando la cuenta de kalvin clein para ver el comercial de jeremy,es,I spend it by stalkeando Calvin Klein's account to see Jeremy's commercial
hahahahahahaha mottttttt,so,Hahahahahahaha mottttttt
pas mal pas mal,tl,not bad
omg,sv,omg
croquer,ca,crunch
tu es tombée croque love jours après tout le monde,fr,You fell croque love days after everyone
trynna bro,cy,trynna bro
lip,tl,lip
todo eso se come la rosalia,es,All that eats the Rosalia
keeee hombreee,nl,Keeee manee
